,1,2,1.1,1000,0,10
304,18,229.0,1.0,1000,,
305,18,230.0,1.0,1000,,
306,18,231.0,1.0,1000,,
307,18,232.0,1.0,1000,,
308,18,233.0,1.0,1000,,
309,18,234.0,1.0,1000,,
310,18,235.0,1.0,1000,,
311,18,236.0,1.0,1000,,
312,18,237.0,1.0,1000,,
313,18,124.0,1.0,1000,,
314,19,193.0,1.0,1000,,
315,19,238.0,1.0,1000,,
316,19,239.0,1.0,1000,,
317,19,240.0,1.0,1000,,
318,19,241.0,1.0,1000,,
319,19,242.0,1.0,1000,,
320,19,243.0,1.0,1000,,
321,19,244.0,1.0,1000,,
322,19,245.0,1.0,1000,,
323,19,246.0,1.0,1000,,
324,19,247.0,1.0,1000,,
325,19,248.0,1.0,1000,,
326,19,249.0,1.0,1000,,
327,19,250.0,1.0,1000,,
328,19,27.0,1.0,1000,,
329,19,25.0,1.0,1000,,
330,20,256.0,1.0,1000,,
331,20,257.0,1.0,1000,,
332,20,258.0,1.0,1000,,
333,20,132.0,1.0,1000,,
334,20,27.0,1.0,1000,,
335,20,29.0,1.0,1000,,
336,20,30.0,1.0,1000,,
337,20,31.0,1.0,1000,,
338,20,32.0,1.0,1000,,
339,20,33.0,1.0,1000,,
340,20,42.0,1.0,1000,,
341,20,43.0,1.0,1000,,
342,20,181.0,1.0,1000,,
343,20,62.0,1.0,1000,,
344,20,67.0,1.0,1000,,
345,20,223.0,1.0,1000,,
346,20,227.0,1.0,1000,,
347,20,228.0,1.0,1000,,
348,20,233.0,1.0,1000,,
349,20,237.0,1.0,1000,,
350,20,252.0,1.0,1000,,
351,20,251.0,1.0,1000,,
352,20,124.0,1.0,1000,,
353,20,253.0,1.0,1000,,
354,20,254.0,1.0,1000,,
355,20,255.0,1.0,1000,,
356,21,259.0,1.0,1000,,
357,21,260.0,1.0,1000,,
358,21,261.0,1.0,1000,,
359,21,262.0,1.0,1000,,
360,21,263.0,1.0,1000,,
361,21,264.0,1.0,1000,,
362,21,265.0,1.0,1000,,
363,21,266.0,1.0,1000,,
364,21,267.0,1.0,1000,,
365,21,268.0,1.0,1000,,
366,21,269.0,1.0,1000,,
