,0,1,1.1,1000,0.1
83,5,92,1.0,1000,
84,5,93,1.0,1000,
85,5,94,1.0,1000,
86,6,95,1.0,1000,
87,6,96,1.0,1000,
88,6,97,1.0,1000,
89,6,1,1.0,1000,
90,6,99,1.0,1000,
91,6,100,1.0,1000,
92,6,101,1.0,1000,
93,6,6,1.0,1000,
94,6,103,1.0,1000,
95,7,106,1.0,1000,
96,7,107,1.0,1000,
97,7,108,1.0,1000,
98,7,109,1.0,1000,
99,7,110,1.0,1000,
100,7,85,1.0,1000,
101,7,111,1.0,1000,
102,7,16,1.0,1000,
103,7,113,1.0,1000,
104,7,114,1.0,1000,
105,7,115,1.0,1000,
106,7,116,1.0,1000,
107,7,6,1.0,1000,
108,8,118,1.0,1000,
109,8,119,1.0,1000,
110,8,120,1.0,1000,
111,8,121,1.0,1000,
112,8,122,1.0,1000,
113,8,123,1.0,1000,
114,8,125,1.0,1000,
115,8,126,1.0,1000,
116,8,127,1.0,1000,
117,8,128,1.0,1000,
118,8,6,1.0,1000,
119,9,131,1.0,1000,
120,9,133,1.0,1000,
121,9,134,1.0,1000,
122,9,3,1.0,1000,
123,9,136,1.0,1000,
124,9,137,1.0,1000,
125,9,138,1.0,1000,
126,9,139,1.0,1000,
127,9,140,1.0,1000,
128,10,82,1.0,1000,
129,10,86,1.0,1000,
130,10,141,1.0,1000,
131,10,87,1.0,1000,
132,10,88,1.0,1000,
133,10,142,1.0,1000,
134,10,143,1.0,1000,
135,10,144,1.0,1000,
136,10,145,1.0,1000,
137,10,93,1.0,1000,
138,10,147,1.0,1000,
139,10,148,1.0,1000,
140,11,33,1.0,1000,
141,11,17,1.0,1000,
142,11,149,1.0,1000,
143,11,150,1.0,1000,
144,11,6,1.0,1000,
145,11,152,1.0,1000,
146,12,153,1.0,1000,
147,12,154,1.0,1000,
148,12,156,1.0,1000,
149,12,157,1.0,1000,
150,12,92,1.0,1000,
151,12,121,1.0,1000,
152,13,159,1.0,1000,
153,13,117,1.0,1000,
154,13,63,1.0,1000,
155,13,160,1.0,1000,
156,13,161,1.0,1000,
157,13,121,1.0,1000,
158,13,85,1.0,1000,
159,13,70,1.0,1000,
160,13,162,1.0,1000,
161,13,163,1.0,1000,
162,13,164,1.0,1000,
163,13,128,1.0,1000,
164,13,6,1.0,1000,
165,14,165,1.0,1000,
166,14,79,1.0,1000,
167,14,6,1.0,1000,
168,14,168,1.0,1000,
169,14,169,1.0,1000,
170,15,171,1.0,1000,
171,15,173,1.0,1000,
172,15,174,1.0,1000,
173,15,175,1.0,1000,
174,15,176,1.0,1000,
175,15,8,1.0,1000,
176,15,178,1.0,1000,
177,15,179,1.0,1000,
178,15,180,1.0,1000,
179,15,6,1.0,1000,
180,15,181,1.0,1000,
181,16,154,1.0,1000,
182,16,182,1.0,1000,
183,16,141,1.0,1000,
184,16,164,1.0,1000,
185,16,92,1.0,1000,
186,16,183,1.0,1000,
187,16,184,1.0,1000,
188,16,185,1.0,1000,
189,16,186,1.0,1000,
190,16,187,1.0,1000,
191,16,188,1.0,1000,
192,16,189,1.0,1000,
193,16,190,1.0,1000,
194,16,191,1.0,1000,
195,16,192,1.0,1000,
196,16,193,1.0,1000,
197,16,117,1.0,1000,
198,16,194,1.0,1000,
199,16,195,1.0,1000,
200,16,115,1.0,1000,
201,16,196,1.0,1000,
202,16,197,1.0,1000,
203,16,198,1.0,1000,
204,16,109,1.0,1000,
205,16,199,1.0,1000,
206,16,200,1.0,1000,
207,16,201,1.0,1000,
208,16,202,1.0,1000,
209,16,203,1.0,1000,
210,16,204,1.0,1000,
211,16,205,1.0,1000,
212,16,206,1.0,1000,
213,16,207,1.0,1000,
214,16,208,1.0,1000,
215,16,209,1.0,1000,
216,16,210,1.0,1000,
217,16,211,1.0,1000,
218,16,212,1.0,1000,
219,16,213,1.0,1000,
