,0,0.1,1,1000,24,1.1
245,13.0,66.0,1,1000,,
246,13.0,67.0,1,1000,,
247,13.0,116.0,1,1000,,
248,13.0,124.0,1,1000,,
249,13.0,126.0,1,1000,,
250,13.0,127.0,1,1000,,
251,14.0,25.0,1,1000,,
252,14.0,154.0,1,1000,,
253,14.0,27.0,1,1000,,
254,14.0,157.0,1,1000,,
255,14.0,44.0,1,1000,,
256,14.0,48.0,1,1000,,
257,14.0,186.0,1,1000,,
258,14.0,187.0,1,1000,,
259,14.0,188.0,1,1000,,
260,14.0,189.0,1,1000,,
261,14.0,190.0,1,1000,,
262,14.0,191.0,1,1000,,
263,14.0,192.0,1,1000,,
264,14.0,193.0,1,1000,,
265,14.0,194.0,1,1000,,
266,14.0,195.0,1,1000,,
267,14.0,196.0,1,1000,,
268,14.0,197.0,1,1000,,
269,14.0,198.0,1,1000,,
270,14.0,199.0,1,1000,,
271,14.0,200.0,1,1000,,
272,14.0,201.0,1,1000,,
273,14.0,202.0,1,1000,,
274,14.0,88.0,1,1000,,
275,14.0,89.0,1,1000,,
276,14.0,91.0,1,1000,,
277,15.0,203.0,1,1000,,
278,15.0,204.0,1,1000,,
279,15.0,205.0,1,1000,,
280,15.0,206.0,1,1000,,
281,15.0,207.0,1,1000,,
282,15.0,48.0,1,1000,,
283,15.0,187.0,1,1000,,
284,15.0,25.0,1,1000,,
285,15.0,27.0,1,1000,,
286,17.0,14.0,1,1000,,
287,17.0,25.0,1,1000,,
288,17.0,155.0,1,1000,,
289,17.0,27.0,1,1000,,
290,17.0,163.0,1,1000,,
291,17.0,170.0,1,1000,,
292,17.0,48.0,1,1000,,
293,17.0,187.0,1,1000,,
294,17.0,204.0,1,1000,,
295,17.0,210.0,1,1000,,
296,17.0,211.0,1,1000,,
297,17.0,213.0,1,1000,,
298,17.0,214.0,1,1000,,
299,17.0,215.0,1,1000,,
300,17.0,216.0,1,1000,,
301,17.0,217.0,1,1000,,
302,17.0,218.0,1,1000,,
303,17.0,219.0,1,1000,,
304,17.0,220.0,1,1000,,
305,17.0,221.0,1,1000,,
306,17.0,222.0,1,1000,,
307,18.0,132.0,1,1000,,
308,18.0,8.0,1,1000,,
309,18.0,27.0,1,1000,,
310,18.0,29.0,1,1000,,
311,18.0,30.0,1,1000,,
312,18.0,31.0,1,1000,,
313,18.0,33.0,1,1000,,
314,18.0,41.0,1,1000,,
315,18.0,42.0,1,1000,,
316,18.0,43.0,1,1000,,
317,18.0,181.0,1,1000,,
318,18.0,62.0,1,1000,,
319,18.0,67.0,1,1000,,
320,18.0,198.0,1,1000,,
321,18.0,223.0,1,1000,,
322,18.0,224.0,1,1000,,
323,18.0,225.0,1,1000,,
324,18.0,226.0,1,1000,,
325,18.0,227.0,1,1000,,
326,18.0,228.0,1,1000,,
327,18.0,229.0,1,1000,,
328,18.0,230.0,1,1000,,
329,18.0,231.0,1,1000,,
330,18.0,232.0,1,1000,,
331,18.0,233.0,1,1000,,
332,18.0,234.0,1,1000,,
333,18.0,235.0,1,1000,,
334,18.0,236.0,1,1000,,
335,18.0,237.0,1,1000,,
336,18.0,124.0,1,1000,,
337,19.0,193.0,1,1000,,
338,19.0,238.0,1,1000,,
339,19.0,239.0,1,1000,,
340,19.0,240.0,1,1000,,
341,19.0,241.0,1,1000,,
342,19.0,242.0,1,1000,,
343,19.0,243.0,1,1000,,
344,19.0,244.0,1,1000,,
345,19.0,245.0,1,1000,,
346,19.0,246.0,1,1000,,
347,19.0,247.0,1,1000,,
348,19.0,248.0,1,1000,,
349,19.0,249.0,1,1000,,
350,19.0,250.0,1,1000,,
351,19.0,27.0,1,1000,,
352,19.0,25.0,1,1000,,
353,20.0,256.0,1,1000,,
354,20.0,257.0,1,1000,,
355,20.0,258.0,1,1000,,
356,20.0,132.0,1,1000,,
357,20.0,27.0,1,1000,,
358,20.0,29.0,1,1000,,
359,20.0,30.0,1,1000,,
360,20.0,31.0,1,1000,,
361,20.0,32.0,1,1000,,
362,20.0,33.0,1,1000,,
363,20.0,42.0,1,1000,,
364,20.0,43.0,1,1000,,
365,20.0,181.0,1,1000,,
366,20.0,62.0,1,1000,,
367,20.0,67.0,1,1000,,
368,20.0,223.0,1,1000,,
369,20.0,227.0,1,1000,,
370,20.0,228.0,1,1000,,
371,20.0,233.0,1,1000,,
372,20.0,237.0,1,1000,,
373,20.0,252.0,1,1000,,
374,20.0,251.0,1,1000,,
375,20.0,124.0,1,1000,,
376,20.0,253.0,1,1000,,
377,20.0,254.0,1,1000,,
378,20.0,255.0,1,1000,,
379,21.0,259.0,1,1000,,
380,21.0,260.0,1,1000,,
381,21.0,261.0,1,1000,,
382,21.0,262.0,1,1000,,
383,21.0,263.0,1,1000,,
384,21.0,264.0,1,1000,,
385,21.0,265.0,1,1000,,
386,21.0,266.0,1,1000,,
387,21.0,267.0,1,1000,,
388,21.0,268.0,1,1000,,
389,21.0,269.0,1,1000,,
390,21.0,270.0,1,1000,,
391,21.0,271.0,1,1000,,
392,21.0,272.0,1,1000,,
393,21.0,273.0,1,1000,,
394,21.0,274.0,1,1000,,
395,21.0,275.0,1,1000,,
396,21.0,276.0,1,1000,,
397,21.0,277.0,1,1000,,
398,21.0,278.0,1,1000,,
399,21.0,279.0,1,1000,,
400,21.0,170.0,1,1000,,
401,21.0,45.0,1,1000,,
402,21.0,214.0,1,1000,,
403,22.0,258.0,1,1000,,
404,22.0,132.0,1,1000,,
405,22.0,280.0,1,1000,,
406,22.0,281.0,1,1000,,
407,22.0,282.0,1,1000,,
408,22.0,27.0,1,1000,,
409,22.0,283.0,1,1000,,
