72,3,93,1.0,1000,
73,3,94,1.0,1000,
74,3,95,1.0,1000,
75,3,96,1.0,1000,
76,3,97,1.0,1000,
77,3,98,1.0,1000,
78,3,99,1.0,1000,
79,3,100,1.0,1000,
80,3,101,1.0,1000,
81,3,102,1.0,1000,
82,3,103,1.0,1000,
83,3,104,1.0,1000,
84,4,69,1.0,1000,
85,4,105,1.0,1000,
86,4,106,1.0,1000,
87,4,107,1.0,1000,
88,4,108,1.0,1000,
89,4,12,1.0,1000,
90,4,109,1.0,1000,
91,4,110,1.0,1000,
92,4,111,1.0,1000,
93,5,96,1.0,1000,
94,5,97,1.0,1000,
95,5,41,1.0,1000,
96,5,11,1.0,1000,
97,5,12,1.0,1000,
98,5,112,1.0,1000,
99,5,113,1.0,1000,
100,5,114,1.0,1000,
101,5,115,1.0,1000,
102,5,116,1.0,1000,
103,5,117,1.0,1000,
104,5,50,1.0,1000,
105,5,118,1.0,1000,
106,5,119,1.0,1000,
107,5,27,1.0,1000,
108,5,94,1.0,1000,
109,5,31,1.0,1000,
110,6,0,1.0,1000,
111,6,129,1.0,1000,
112,6,130,1.0,1000,
113,6,131,1.0,1000,
114,6,128,1.0,1000,
115,6,132,1.0,1000,
116,6,133,1.0,1000,
117,6,134,1.0,1000,
118,6,135,1.0,1000,
119,6,136,1.0,1000,
120,6,137,1.0,1000,
121,6,138,1.0,1000,
122,6,139,1.0,1000,
123,6,140,1.0,1000,
124,6,14,1.0,1000,
125,6,141,1.0,1000,
126,6,142,1.0,1000,
127,6,17,1.0,1000,
128,6,143,1.0,1000,
129,6,12,1.0,1000,
130,6,22,1.0,1000,
131,6,41,1.0,1000,
132,6,48,1.0,1000,
133,6,61,1.0,1000,
134,6,119,1.0,1000,
135,6,120,1.0,1000,
136,6,121,1.0,1000,
137,6,122,1.0,1000,
138,6,123,1.0,1000,
139,6,124,1.0,1000,
140,6,125,1.0,1000,
141,6,126,1.0,1000,
142,6,127,1.0,1000,
143,7,0,1.0,1000,
144,7,26,1.0,1000,
145,7,12,1.0,1000,
146,7,144,1.0,1000,
147,7,145,1.0,1000,
148,7,146,1.0,1000,
149,7,147,1.0,1000,
150,7,148,1.0,1000,
151,7,149,1.0,1000,
152,7,150,1.0,1000,
153,7,151,1.0,1000,
154,7,152,1.0,1000,
155,7,153,1.0,1000,
156,7,50,1.0,1000,
157,8,160,1.0,1000,
158,8,161,1.0,1000,
159,8,162,1.0,1000,
